Name,Description,Designator,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Footprint,LibRef,Quantity
"22KR2F","22K 0.063W 1% 0402 (1005 Metric)  SMD","R45","","","","RESC0402(1005)_L","CMP-009-00081-2","1"
"Resistor 0R +/- 5% 0603 100 mW","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R46, R163, R164, R165, R166, R167, R168, R169","Yageo Group","RC0603JR-130RL","Volume Production","RESC1608X55X25ML10T15","CMP-009-00006-5","8"
"CRCW0402680RJNED","RES, 680, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R47, R66, R67","Vishay","CRCW0402680RJNED","Volume Production","0402","CMP-0026962-3","3"
"CRCW0402340KFKED","RES, 340 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402","R48","Vishay","CRCW0402340KFKED","Volume Production","0402","CMP-0026300-2","1"
"ERJ-2RKF2001X","RES, 2.00 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0402","R49","Panasonic","ERJ2RKF2001X","Volume Production","0402","CMP-0026676-1","1"
"CRCW0402205KFKED","RES, 205 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402","R50","Vishay","CRCW0402205KFKED","Volume Production","0402","CMP-0026160-2","1"
"10KR2F","10K 0.063W 1% 0402 (1005 Metric)  SMD","R51","","","","RESC0402(1005)_L","CMP-009-00066-2","1"
"Resistor 100k +/-1% 0603 100 mW","Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R52","Yageo Group","RC0603FR-07100KL","Volume Production","RESC1608X55X25ML10T15","CMP-009-00023-5","1"
"Resistor 200K +/-1 % 0402 63 mW","Chip Resistor, 200 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R53","Yageo Group","RC0402FR-07200KL","Volume Production","RESC0402(1005)_L","CMP-009-00163-3","1"
"RT0603DRE0775KL","RES, 75.0 k, 0.5%, 0.1 W, 0603","R54","","","","0603","CMP-0025557-3","1"
"CRCW040256R0JNED","RES, 56, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R55","Vishay","CRCW040256R0JNED","Volume Production","0402","CMP-0026950-3","1"
"CRCW04022K20JNED","RES, 2.2 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R62, R63, R68, R71, R79, R80","Vishay","CRCW04022K20JNED","Volume Production","0402","CMP-0026890-5","6"
"RC0402FR-0710KL","RES, 10.0 k, 1%, 0.063 W, 0402","R64","Yageo Group","RC0402FR-0710KL","Volume Production","0402","CMP-0078669-1","1"
"CRCW04021M50JNED","RES, 1.5 M, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R69, R70","Vishay","CRCW04021M50JNED","Volume Production","0402","CMP-0026863-2","2"
"CRCW040256K0JNED","RES, 56 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R74, R75","Vishay","CRCW040256K0JNED","Volume Production","0402","CMP-0026949-3","2"
"CPF0402B10RE1","RES, 10.0, 0.1%, 0.063 W, 0402","R77, R78, R81, R83","TE Connectivity","1879208-1","Volume Production","CPF0402","CMP-0026765-1","4"
"CRCW04020000Z0EDHP","RES, 0, 0%, 0.2 W, AEC-Q200 Grade 0, 0402","R82, R84, R86","Vishay","CRCW04020000Z0EDHP","Volume Production","0402","CMP-0081856-1","3"
"R2012","Chip Resistor, 4,7 Ohms, +/-5 %, 125 mW, -55 to 155 degC, 0805","R158, R159, R162, R170, R171, R172, R173, R174, R175","Yageo Group","RC0805JR-074R7L","Volume Production","RESC0805(2012)_L","CMP-009-00174-4","9"
"CRCW04024K70JNED","RES, 4.7 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R176, R177","Vishay","CRCW04024K70JNED","Volume Production","0402","CMP-0026938-5","2"
"CAS-D20TA","Switch, Dual SPDT,  2 Pos, 0.1A, 6VDC, SMD","S1, S2","","","","SW_CAS-D20TA","CMP-0002233-1","2"
"B3U-1100P","Switch, SPST-NO, Off-Mom, 12 V, SMD","S3","Omron","B3U-1100P","Volume Production","SW_B3U-1100P","CMP-0002193-2","1"
"218-2LPST","Switch, SPST, 2 Pos, 25mA, 24VDC, SMD","S4","CTS Components","218-2LPST","Volume Production","SW_218-2LP","CMP-0002230-1","1"
"TMS320F28388DZWTS","TMS320F28388DZWTS, ZWT0337A (NFBGA-337)","U1","","","","ZWT0337A-IPC_B","CMP-012-000147-1","1"
"SN74LVC2G07DBVR","Dual Buffer/Driver with Open-Drain Output, DBV0006A, LARGE T&R","U2","","","","DBV0006A_N","CMP-0051789-2","1"
"OPA4350EA/250","High-Speed, Single-Supply, Rail-to-Rail Operational Amplifier MicroAmplifier(TM) Series, 2.7 to 5.5 V, -55 to 150 degC, 16-pin SOP (DBQ16), Green (RoHS & no Sb/Br)","U3","","","","DBQ0016A_N","CMP-014-00004-2","1"
"REF5030IDGKT","Low Noise, Very Low Drift, Precision Series Voltage Reference, DGK0008A (VSSOP-8)","U4","","","","DGK0008A_N","CMP-0032596-2","1"
"CDCLVC1104PW","Low Jitter, 1:4 LVCMOS Fan-out Clock Buffer, PW0008A (TSSOP-8)","U5","Texas Instruments","CDCLVC1104PW","Volume Production","PW0008A_N","CMP-052-000006-1","1"
"TPS3702CX33DDCT","High-Accuracy, Fixed-Threshold OV/UV Monitor, DDC0006A (SOT-23-T-6)","U6, U7","Texas Instruments","TPS3702CX33DDCT","Volume Production","DDC0006A_N","CMP-052-000005-1","2"
"TPS62420DRCR","Dual, Adjustable, 600mA and 1000mA, 2.25MHz Step-Down Converter with 1-Wire Interface in QFN 10-VSON -40 to 85","U8","Texas Instruments","TPS62420DRCR","Volume Production","DRC0010J","CMP-014-000012-1","1"
"SN74LVCH16T245DGGR","16-Bit Dual-Supply Bus Transceiver","U24, U25, U26, U27, U28","","","","SOP50P810X120-48N","CMP-031-00095-1","5"
"CMP-0082061-2","Oscillator, 25 MHz, 15 pF, SMD","Y1","ECS International","ECS-2520S33-250-FN-TR","Volume Production","ECS_ECS-2520S","CMP-052-000000-1","1"
