Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","Capacitor 10レF +/-20% 10V 0603","Chip Capacitor, 10レF +/-20%, 10V, 0603, Thickness 1 mm","C71, C72","CMP-001-00075-4","Draft","Up to date","2","Yageo Group","CC0603KRX5R6BB106","Volume Production","Arrow Electronics","CC0603KRX5R6BB106","0.0205","0.041"
"","CL05B104KP5NNNC","CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, 0402","C73, C75, C77, C78","","Not managed","","4","","","","","","",""
"","C0402C103J5RACTU","CAP, CERM, 0.01 uF, 50 V, +/- 5%, X7R, 0402","C74, C76","","Not managed","","2","Yageo Group","C0402C103J5RACTU","Volume Production","Mouser","80-C0402C103J5R","0.43","0.86"
"","C2012","Chip Capacitor, 1 uF, +/- 10%, 50 V, 0805 (2012 Metric)","C163, C164, C165","CMP-001-00007-7","Draft","Up to date","3","TDK","C2012X7R1H105K125AB","Volume Production","Arrow Electronics","C2012X7R1H105K125AB","0.2517","0.7551"
"","Capacitor 100 nF +/-10% 50 V 0603","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)","C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185","CMP-001-00017-6","Draft","Up to date","20","Yageo Group","CC0603KRX7R9BB104","Volume Production","Arrow Electronics","CC0603KRX7R9BB104","0.0022","0.044"
"","CMP-0028747-2","Diode, Schottky, 10 V, 1 A, AEC-Q101, POWERMITE","D1","CMP-004-00076-1","Draft","Up to date","1","onsemi","MBRM110ET1G","End of Life","Bison Technologies","MBRM110ET1G-159988","0.09","9"
"","CFSH05-20L_TR_PBFREE","SURFACE MOUNT SILICON LOW VF SCHOTTKY DIODE 0.5 AMP","D2","CMP-004-00069-1","Draft","Up to date","1","","","","","","",""
"","150080SS75000","LED, Red, SMD","D3, D4","","Not managed","","2","","","","","","",""
"","10144517-101802LF","Socket(male) 100 Positions, Dual Row, Vertical Receptacle. BergStak Lite 0.80mm, Board-to-Board Connector,","J1, J2, J12","CMP-002-00178-1","Draft","Up to date","3","","","","","","",""
"","302-S101","10 Positions Header Connector 0.100"" (2.54mm) Through Hole Gold","J9, J10","CMP-002-00158-1","Draft","Up to date","2","","","","","","",""
"","SBH11-PBPC-D07-ST-BK","Connector Header Through Hole 14 position 0.100 (2.54mm)","J11","CMP-002-00182-1","Draft","Up to date","1","","","","","","",""
"","LQM2HPN2R2MG0L","Chip Inductor, 2.2 uH, +/- 20%, -55 to 125 degC, 1008 (2520 Metric), RoHS, Tape and Reel","L1, L2","CMP-006-00009-6","Draft","Up to date","2","Murata","LQM2HPN2R2MG0L","Volume Production","Newark","LQM2HPN2R2MG0L","0.03","0.06"
"","BLM18AG121SN1D","Chip Ferrite Bead for General Use, 120 Ohm, 500 mA, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","L3, L4, L5","CMP-006-00004-3","Draft","Up to date","3","","","","","","",""
"","150080VS75000","WL-SMCW SMT Mono-Color Chip LED Waterclear 0805","LED1","CMP-007-00038-1","Draft","Up to date","1","","","","","","",""
"","CRCW040239R0JNED","RES, 39, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R3, R4, R5, R6, R7, R8, R59","","Not managed","","7","Vishay","CRCW040239R0JNED","Volume Production","Mouser","71-CRCW0402J-39-E3","0.018","0.18"
"","CRCW06030000Z0EA","RES, 0, 5%, 0.1 W, AEC-Q200 Grade 0, 0603","R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R41, R42, R72, R73, R76, R85","","Not managed","","34","Vishay","CRCW06030000Z0EA","Volume Production","Mouser","71-CRCW0603-0-E3","0.012","0.408"
"","ERJ2BWFR100X","RES, 0.1, 1%, 0.25 W, 0402","R37, R38, R39, R40","","Not managed","","4","Panasonic","ERJ-2BWFR100X","Volume Production","DigiKey","P17368CT-ND","0.3","1.2"
"","RC0603FR-071KL","RES, 1.00 k, 1%, 0.1 W, 0603","R43","","Not managed","","1","Yageo Group","RC0603FR-071KL","Volume Production","DigiKey","311-1.00KHRCT-ND","0.1","0.1"
"","Resistor 0R +/- 5% 0402 100 mW","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R44","CMP-009-00005-5","Draft","Up to date","1","Panasonic","ERJ-2GE0R00X","Volume Production","Arrow Electronics","ERJ-2GE0R00X","0.0021","0.0021"
"","22KR2F","22K 0.063W 1% 0402 (1005 Metric)  SMD","R45","CMP-009-00081-2","Draft","Up to date","1","","","","","","",""
"","Resistor 0R +/- 5% 0603 100 mW","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R46, R163, R164, R165, R166, R167, R168, R169","CMP-009-00006-5","Draft","Up to date","8","Yageo Group","RC0603JR-130RL","Volume Production","Arrow Electronics","RC0603JR-130RL","0.0005","0.004"
"","CRCW0402680RJNED","RES, 680, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R47, R66, R67","","Not managed","","3","Vishay","CRCW0402680RJNED","Volume Production","Mouser","71-CRCW0402J-680-E3","0.017","0.17"
"","CRCW0402340KFKED","RES, 340 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402","R48","","Not managed","","1","Vishay","CRCW0402340KFKED","Volume Production","DigiKey","541-340KLCT-ND","0.1","0.1"
"","ERJ-2RKF2001X","RES, 2.00 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0402","R49","","Not managed","","1","Panasonic","ERJ2RKF2001X","Volume Production","Mouser","667-ERJ-2RKF2001X","0.1","0.1"
"","CRCW0402205KFKED","RES, 205 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402","R50","","Not managed","","1","Vishay","CRCW0402205KFKED","Volume Production","Mouser","71-CRCW0402-205K-E3","0.1","0.1"
"","10KR2F","10K 0.063W 1% 0402 (1005 Metric)  SMD","R51","CMP-009-00066-2","Draft","Up to date","1","","","","","","",""
"","Resistor 100k +/-1% 0603 100 mW","Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R52","CMP-009-00023-5","Draft","Up to date","1","Yageo Group","RC0603FR-07100KL","Volume Production","Arrow Electronics","RC0603FR-07100KL","0.0007","0.0007"
"","Resistor 200K +/-1 % 0402 63 mW","Chip Resistor, 200 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R53","CMP-009-00163-3","Draft","Up to date","1","Yageo Group","RC0402FR-07200KL","Volume Production","Arrow Electronics","RC0402FR-07200KL","0.0003","0.0003"
"","RT0603DRE0775KL","RES, 75.0 k, 0.5%, 0.1 W, 0603","R54","","Not managed","","1","","","","","","",""
"","CRCW040256R0JNED","RES, 56, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R55","","Not managed","","1","Vishay","CRCW040256R0JNED","Volume Production","Mouser","71-CRCW0402J-56-E3","0.1","0.1"
"","CRCW04022K20JNED","RES, 2.2 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R62, R63, R68, R71, R79, R80","","Not managed","","6","Vishay","CRCW04022K20JNED","Volume Production","Mouser","71-CRCW0402J-2.2K-E3","0.017","0.17"
"","RC0402FR-0710KL","RES, 10.0 k, 1%, 0.063 W, 0402","R64","","Not managed","","1","Yageo Group","RC0402FR-0710KL","Volume Production","DigiKey","311-10.0KLRCT-ND","0.1","0.1"
"","CRCW04021M50JNED","RES, 1.5 M, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R69, R70","","Not managed","","2","Vishay","CRCW04021M50JNED","Volume Production","Mouser","71-CRCW04021M50JNED","0.018","0.18"
"","CRCW040256K0JNED","RES, 56 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R74, R75","","Not managed","","2","Vishay","CRCW040256K0JNED","Volume Production","Mouser","71-CRCW0402J-56K-E3","0.018","0.18"
"","CPF0402B10RE1","RES, 10.0, 0.1%, 0.063 W, 0402","R77, R78, R81, R83","","Not managed","","4","TE Connectivity","1879208-1","Volume Production","Mouser","279-CPF0402B10RE1","0.21","0.84"
"","CRCW04020000Z0EDHP","RES, 0, 0%, 0.2 W, AEC-Q200 Grade 0, 0402","R82, R84, R86","","Not managed","","3","Vishay","CRCW04020000Z0EDHP","Volume Production","DigiKey","541-0.0YBTR-ND","0.01233","123.3"
"","R2012","Chip Resistor, 4,7 Ohms, +/-5 %, 125 mW, -55 to 155 degC, 0805","R158, R159, R162, R170, R171, R172, R173, R174, R175","CMP-009-00174-4","Draft","Up to date","9","Yageo Group","RC0805JR-074R7L","Volume Production","Arrow Electronics","RC0805JR-074R7L","0.0014","0.0126"
"","CRCW04024K70JNED","RES, 4.7 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402","R176, R177","","Not managed","","2","Vishay","CRCW04024K70JNED","Volume Production","Mouser","71-CRCW0402J-4.7K-E3","0.018","0.18"
"","CAS-D20TA","Switch, Dual SPDT,  2 Pos, 0.1A, 6VDC, SMD","S1, S2","","Not managed","","2","","","","Digi-Key","CASD20JCT-ND","",""
"","B3U-1100P","Switch, SPST-NO, Off-Mom, 12 V, SMD","S3","","Not managed","","1","Omron","B3U-1100P","Volume Production","Mouser","653-B3U-1100P","0.75","0.75"
"","218-2LPST","Switch, SPST, 2 Pos, 25mA, 24VDC, SMD","S4","","Not managed","","1","CTS Components","218-2LPST","Volume Production","DigiKey","CT2182LPST-ND","1.11","1.11"
"","TMS320F28388DZWTS","TMS320F28388DZWTS, ZWT0337A (NFBGA-337)","U1","","Not managed","","1","","","","","","",""
"","SN74LVC2G07DBVR","Dual Buffer/Driver with Open-Drain Output, DBV0006A, LARGE T&R","U2","","Not managed","","1","","","","","","",""
"","OPA4350EA/250","High-Speed, Single-Supply, Rail-to-Rail Operational Amplifier MicroAmplifier(TM) Series, 2.7 to 5.5 V, -55 to 150 degC, 16-pin SOP (DBQ16), Green (RoHS & no Sb/Br)","U3","","Not managed","","1","","","","","","",""
"","REF5030IDGKT","Low Noise, Very Low Drift, Precision Series Voltage Reference, DGK0008A (VSSOP-8)","U4","","Not managed","","1","","","","","","",""
"","CDCLVC1104PW","Low Jitter, 1:4 LVCMOS Fan-out Clock Buffer, PW0008A (TSSOP-8)","U5","CMP-052-000006-1","Draft","Up to date","1","Texas Instruments","CDCLVC1104PW","Volume Production","Arrow Electronics","CDCLVC1104PW","3.47","3.47"
"","TPS3702CX33DDCT","High-Accuracy, Fixed-Threshold OV/UV Monitor, DDC0006A (SOT-23-T-6)","U6, U7","CMP-052-000005-1","Draft","Up to date","2","Texas Instruments","TPS3702CX33DDCT","Volume Production","Mouser","595-TPS3702CX33DDCT","2.66","5.32"
"","TPS62420DRCR","Dual, Adjustable, 600mA and 1000mA, 2.25MHz Step-Down Converter with 1-Wire Interface in QFN 10-VSON -40 to 85","U8","CMP-014-000012-1","Draft","Up to date","1","Texas Instruments","TPS62420DRCR","Volume Production","Arrow Electronics","TPS62420DRCR","2.03","2.03"
"","SN74LVCH16T245DGGR","16-Bit Dual-Supply Bus Transceiver","U24, U25, U26, U27, U28","CMP-031-00095-1","Draft","Up to date","5","","","","","","",""
"","CMP-0082061-2","Oscillator, 25 MHz, 15 pF, SMD","Y1","CMP-052-000000-1","Draft","Up to date","1","ECS International","ECS-2520S33-250-FN-TR","Volume Production","Arrow Electronics","ECS-2520S33-250-FN-TR","1.99","1.99"
